item_id,order_id,customer_id,product_id,product_name,category,quantity,unit_price,discount_percent,discount_amount,final_price,total_amount,revenue,order_date,order_status,order_year,order_month,order_quarter,amount_valid,is_revenue_generating,etl_processed_at,data_source
ITEM000001,ORD00001,CUST0522,P004,Zebronics Zeb-County,Electronics,2,799,5,39.95,759.05,1518.1,1518.1,2024-03-05,Delivered,2024,3,1,True,True,2026-03-18 15:34:42,CHANAKYA_RAW
ITEM000002,ORD00001,CUST0522,P016,Philips HL7756 Mixer,Home & Kitchen,2,2799,5,139.95,2659.05,5318.1,5318.1,2024-03-05,Delivered,2024,3,1,True,True,2026-03-18 15:34:42,CHANAKYA_RAW
ITEM000003,ORD00001,CUST0522,P041,Funskool Lego Set,Toys,1,999,5,49.95,949.05,949.05,949.05,2024-03-05,Delivered,2024,3,1,True,True,2026-03-18 15:34:42,CHANAKYA_RAW
ITEM000004,ORD00001,CUST0522,P020,Hawkins Futura Pan Set,Home & Kitchen,1,1299,5,64.95,1234.05,1234.05,1234.05,2024-03-05,Delivered,2024,3,1,True,True,2026-03-18 15:34:42,CHANAKYA_RAW
ITEM000005,ORD00002,CUST0094,P050,Dettol Hand Sanitizer 500ml,Health,1,199,25,49.75,149.25,149.25,149.25,2024-10-14,Delivered,2024,10,4,True,True,2026-03-18 15:34:42,CHANAKYA_RAW
ITEM000006,ORD00002,CUST0094,P035,Amul Butter 500g,Grocery,1,275,25,68.75,206.25,206.25,206.25,2024-10-14,Delivered,2024,10,4,True,True,2026-03-18 15:34:42,CHANAKYA_RAW
ITEM000007,ORD00002,CUST0094,P037,Bru Gold Coffee 200g,Grocery,3,299,25,74.75,224.25,672.75,672.75,2024-10-14,Delivered,2024,10,4,True,True,2026-03-18 15:34:42,CHANAKYA_RAW
ITEM000008,ORD00003,CUST0613,P018,Cello Plastic Storage Set,Home & Kitchen,2,499,0,0.0,499.0,998.0,998.0,2024-12-25,Cancelled,2024,12,4,True,False,2026-03-18 15:34:42,CHANAKYA_RAW
ITEM000009,ORD00004,CUST0556,P022,Python Crash Course,Books,1,699,0,0.0,699.0,699.0,699.0,2024-11-14,Cancelled,2024,11,4,True,False,2026-03-18 15:34:42,CHANAKYA_RAW
ITEM000010,ORD00005,CUST0026,P022,Python Crash Course,Books,2,699,0,0.0,699.0,1398.0,1398.0,2024-02-18,Delivered,2024,2,1,True,True,2026-03-18 15:34:42,CHANAKYA_RAW
