item_id,order_id,customer_id,product_id,product_name,category,quantity,unit_price,discount_percent,discount_amount,final_price,total_amount,revenue,order_date,order_status
ITEM000001,ORD00001,CUST0522,P004,Zebronics Zeb-County,Electronics,2,799,5,39.95,759.05,1518.1,1518.1,2024-03-05,Delivered
ITEM000002,ORD00001,CUST0522,P016,Philips HL7756 Mixer,Home & Kitchen,2,2799,5,139.95,2659.05,5318.1,5318.1,2024-03-05,Delivered
ITEM000003,ORD00001,CUST0522,P041,Funskool Lego Set,Toys,1,999,5,49.95,949.05,949.05,949.05,2024-03-05,Delivered
ITEM000004,ORD00001,CUST0522,P020,Hawkins Futura Pan Set,Home & Kitchen,1,1299,5,64.95,1234.05,1234.05,1234.05,2024-03-05,Delivered
ITEM000005,ORD00002,CUST0094,P050,Dettol Hand Sanitizer 500ml,Health,1,199,25,49.75,149.25,149.25,149.25,2024-10-14,Delivered
ITEM000006,ORD00002,CUST0094,P035,Amul Butter 500g,Grocery,1,275,25,68.75,206.25,206.25,206.25,2024-10-14,Delivered
ITEM000007,ORD00002,CUST0094,P037,Bru Gold Coffee 200g,Grocery,3,299,25,74.75,224.25,672.75,672.75,2024-10-14,Delivered
ITEM000008,ORD00003,CUST0613,P018,Cello Plastic Storage Set,Home & Kitchen,2,499,0,0.0,499.0,998.0,998.0,2024-12-25,Cancelled
ITEM000009,ORD00004,CUST0556,P022,Python Crash Course,Books,1,699,0,0.0,699.0,699.0,699.0,2024-11-14,Cancelled
ITEM000010,ORD00005,CUST0026,P022,Python Crash Course,Books,2,699,0,0.0,699.0,1398.0,1398.0,2024-02-18,Delivered
ITEM000011,ORD00005,CUST0026,P047,Dabur Chyawanprash 1kg,Health,3,349,0,0.0,349.0,1047.0,1047.0,2024-02-18,Delivered
ITEM000012,ORD00005,CUST0026,P031,Himalaya Face Wash,Beauty,1,179,0,0.0,179.0,179.0,179.0,2024-02-18,Delivered
ITEM000013,ORD00006,CUST0518,P035,Amul Butter 500g,Grocery,1,275,0,0.0,275.0,275.0,275.0,2024-01-17,Delivered
ITEM000014,ORD00007,CUST0286,P013,Jockey Men T-Shirt,Clothing,3,599,5,29.95,569.05,1707.15,1707.15,2023-07-14,Delivered
ITEM000015,ORD00007,CUST0286,P011,W Women Kurta Set,Clothing,2,1599,5,79.95,1519.05,3038.1,3038.1,2023-07-14,Delivered
ITEM000016,ORD00007,CUST0286,P018,Cello Plastic Storage Set,Home & Kitchen,3,499,5,24.95,474.05,1422.15,1422.15,2023-07-14,Delivered
ITEM000017,ORD00008,CUST0291,P025,Cosco Cricket Kit,Sports,1,2999,5,149.95,2849.05,2849.05,2849.05,2024-09-22,Delivered
ITEM000018,ORD00009,CUST0022,P043,Nilkamal Plastic Chair,Furniture,2,899,0,0.0,899.0,1798.0,1798.0,2024-08-18,Delivered
ITEM000019,ORD00009,CUST0022,P025,Cosco Cricket Kit,Sports,2,2999,0,0.0,2999.0,5998.0,5998.0,2024-08-18,Delivered
ITEM000020,ORD00010,CUST0750,P041,Funskool Lego Set,Toys,1,999,0,0.0,999.0,999.0,999.0,2025-10-28,Delivered
ITEM000021,ORD00010,CUST0750,P025,Cosco Cricket Kit,Sports,1,2999,0,0.0,2999.0,2999.0,2999.0,2025-10-28,Delivered
ITEM000022,ORD00011,CUST0439,P031,Himalaya Face Wash,Beauty,2,179,5,8.95,170.05,340.1,340.1,2023-12-17,Cancelled
ITEM000023,ORD00011,CUST0439,P027,Boldfit Yoga Mat,Sports,1,799,5,39.95,759.05,759.05,759.05,2023-12-17,Cancelled
ITEM000024,ORD00012,CUST0046,P014,HRX Sports Tracksuit,Clothing,1,1799,10,179.9,1619.1,1619.1,1619.1,2023-10-13,Delivered
ITEM000025,ORD00012,CUST0046,P041,Funskool Lego Set,Toys,1,999,10,99.9,899.1,899.1,899.1,2023-10-13,Delivered
ITEM000026,ORD00012,CUST0046,P031,Himalaya Face Wash,Beauty,1,179,10,17.9,161.1,161.1,161.1,2023-10-13,Delivered
ITEM000027,ORD00013,CUST0301,P031,Himalaya Face Wash,Beauty,2,179,0,0.0,179.0,358.0,358.0,2024-12-03,Delivered
ITEM000028,ORD00013,CUST0301,P036,Maggi Noodles 12 Pack,Grocery,1,192,0,0.0,192.0,192.0,192.0,2024-12-03,Delivered
ITEM000029,ORD00013,CUST0301,P049,Omron BP Monitor,Health,1,1999,0,0.0,1999.0,1999.0,1999.0,2024-12-03,Delivered
ITEM000030,ORD00013,CUST0301,P029,Lakme 9to5 Foundation,Beauty,1,549,0,0.0,549.0,549.0,549.0,2024-12-03,Delivered
ITEM000031,ORD00014,CUST0774,P013,Jockey Men T-Shirt,Clothing,1,599,5,29.95,569.05,569.05,569.05,2025-07-20,Cancelled
ITEM000032,ORD00014,CUST0774,P008,Redmi Smart TV 32,Electronics,1,15999,5,799.95,15199.05,15199.05,15199.05,2025-07-20,Cancelled
ITEM000033,ORD00014,CUST0774,P040,Catwalk Women Heels,Footwear,1,1499,5,74.95,1424.05,1424.05,1424.05,2025-07-20,Cancelled
ITEM000034,ORD00014,CUST0774,P010,Levis Men Jeans 511,Clothing,2,2499,5,124.95,2374.05,4748.1,4748.1,2025-07-20,Cancelled
ITEM000035,ORD00015,CUST0017,P012,Biba Anarkali Suit,Clothing,1,2199,15,329.85,1869.15,1869.15,1869.15,2025-12-21,Delivered
ITEM000036,ORD00015,CUST0017,P045,Bosch Car Wiper Blade,Automotive,1,499,15,74.85,424.15,424.15,424.15,2025-12-21,Delivered
ITEM000037,ORD00016,CUST0349,P049,Omron BP Monitor,Health,1,1999,5,99.95,1899.05,1899.05,1899.05,2024-11-02,Delivered
ITEM000038,ORD00016,CUST0349,P026,Nivia Football Size 5,Sports,1,899,5,44.95,854.05,854.05,854.05,2024-11-02,Delivered
ITEM000039,ORD00017,CUST0175,P047,Dabur Chyawanprash 1kg,Health,3,349,10,34.9,314.1,942.3,942.3,2024-10-21,Delivered
ITEM000040,ORD00017,CUST0175,P007,Fire-Boltt Ninja Watch,Electronics,1,1999,10,199.9,1799.1,1799.1,1799.1,2024-10-21,Delivered
ITEM000041,ORD00018,CUST0309,P018,Cello Plastic Storage Set,Home & Kitchen,1,499,10,49.9,449.1,449.1,449.1,2025-07-13,Delivered
ITEM000042,ORD00019,CUST0011,P011,W Women Kurta Set,Clothing,1,1599,10,159.9,1439.1,1439.1,1439.1,2024-12-24,Delivered
ITEM000043,ORD00019,CUST0011,P021,Data Science Handbook,Books,1,899,10,89.9,809.1,809.1,809.1,2024-12-24,Delivered
ITEM000044,ORD00020,CUST0142,P016,Philips HL7756 Mixer,Home & Kitchen,2,2799,10,279.9,2519.1,5038.2,5038.2,2024-05-07,Delivered
ITEM000045,ORD00020,CUST0142,P006,Lenovo IdeaPad Slim,Electronics,1,38999,10,3899.9,35099.1,35099.1,35099.1,2024-05-07,Delivered
ITEM000046,ORD00020,CUST0142,P017,Milton Thermosteel Flask,Home & Kitchen,1,699,10,69.9,629.1,629.1,629.1,2024-05-07,Delivered
ITEM000047,ORD00021,CUST0858,P002,Realme Narzo 60,Electronics,1,12999,0,0.0,12999.0,12999.0,12999.0,2023-07-03,Processing
ITEM000048,ORD00022,CUST0292,P033,Tata Salt 1kg,Grocery,1,28,0,0.0,28.0,28.0,28.0,2025-12-27,Delivered
ITEM000049,ORD00022,CUST0292,P010,Levis Men Jeans 511,Clothing,1,2499,0,0.0,2499.0,2499.0,2499.0,2025-12-27,Delivered
ITEM000050,ORD00022,CUST0292,P028,Prokyde Badminton Racket,Sports,1,599,0,0.0,599.0,599.0,599.0,2025-12-27,Delivered
ITEM000051,ORD00023,CUST0367,P020,Hawkins Futura Pan Set,Home & Kitchen,1,1299,5,64.95,1234.05,1234.05,0.0,2023-08-11,Returned
ITEM000052,ORD00023,CUST0367,P029,Lakme 9to5 Foundation,Beauty,2,549,5,27.45,521.55,1043.1,0.0,2023-08-11,Returned
ITEM000053,ORD00024,CUST0178,P024,Camlin Color Kit,Books,2,349,5,17.45,331.55,663.1,663.1,2024-08-13,Delivered
ITEM000054,ORD00024,CUST0178,P029,Lakme 9to5 Foundation,Beauty,1,549,5,27.45,521.55,521.55,521.55,2024-08-13,Delivered
ITEM000055,ORD00024,CUST0178,P007,Fire-Boltt Ninja Watch,Electronics,2,1999,5,99.95,1899.05,3798.1,3798.1,2024-08-13,Delivered
ITEM000056,ORD00024,CUST0178,P028,Prokyde Badminton Racket,Sports,1,599,5,29.95,569.05,569.05,569.05,2024-08-13,Delivered
ITEM000057,ORD00025,CUST0068,P010,Levis Men Jeans 511,Clothing,2,2499,5,124.95,2374.05,4748.1,4748.1,2024-11-12,Cancelled
ITEM000058,ORD00026,CUST0581,P004,Zebronics Zeb-County,Electronics,1,799,10,79.9,719.1,719.1,719.1,2024-05-24,Processing
ITEM000059,ORD00026,CUST0581,P034,Aashirvaad Atta 5kg,Grocery,2,249,10,24.9,224.1,448.2,448.2,2024-05-24,Processing
ITEM000060,ORD00027,CUST0626,P035,Amul Butter 500g,Grocery,1,275,10,27.5,247.5,247.5,247.5,2025-06-09,Delivered
ITEM000061,ORD00028,CUST0186,P041,Funskool Lego Set,Toys,1,999,10,99.9,899.1,899.1,899.1,2023-08-24,Delivered
ITEM000062,ORD00029,CUST0925,P004,Zebronics Zeb-County,Electronics,1,799,0,0.0,799.0,799.0,799.0,2024-05-05,Delivered
ITEM000063,ORD00030,CUST0397,P035,Amul Butter 500g,Grocery,1,275,10,27.5,247.5,247.5,0.0,2023-08-28,Returned
ITEM000064,ORD00030,CUST0397,P012,Biba Anarkali Suit,Clothing,1,2199,10,219.9,1979.1,1979.1,0.0,2023-08-28,Returned
ITEM000065,ORD00031,CUST0442,P035,Amul Butter 500g,Grocery,1,275,0,0.0,275.0,275.0,275.0,2025-06-19,Shipped
ITEM000066,ORD00031,CUST0442,P029,Lakme 9to5 Foundation,Beauty,2,549,0,0.0,549.0,1098.0,1098.0,2025-06-19,Shipped
ITEM000067,ORD00031,CUST0442,P012,Biba Anarkali Suit,Clothing,1,2199,0,0.0,2199.0,2199.0,2199.0,2025-06-19,Shipped
ITEM000068,ORD00032,CUST0120,P043,Nilkamal Plastic Chair,Furniture,1,899,0,0.0,899.0,899.0,899.0,2023-05-19,Cancelled
ITEM000069,ORD00033,CUST0836,P026,Nivia Football Size 5,Sports,1,899,5,44.95,854.05,854.05,854.05,2024-09-13,Delivered
ITEM000070,ORD00034,CUST0930,P036,Maggi Noodles 12 Pack,Grocery,1,192,5,9.6,182.4,182.4,182.4,2024-08-01,Delivered
ITEM000071,ORD00035,CUST0596,P031,Himalaya Face Wash,Beauty,1,179,0,0.0,179.0,179.0,179.0,2025-06-06,Delivered
ITEM000072,ORD00036,CUST0580,P010,Levis Men Jeans 511,Clothing,1,2499,0,0.0,2499.0,2499.0,2499.0,2023-06-14,Cancelled
ITEM000073,ORD00037,CUST0811,P014,HRX Sports Tracksuit,Clothing,2,1799,10,179.9,1619.1,3238.2,3238.2,2024-07-19,Delivered
ITEM000074,ORD00038,CUST0669,P039,Sparx Men Sports Shoes,Footwear,1,999,10,99.9,899.1,899.1,899.1,2025-10-18,Delivered
ITEM000075,ORD00039,CUST0486,P019,Bajaj Room Heater,Home & Kitchen,1,1599,0,0.0,1599.0,1599.0,1599.0,2024-11-01,Delivered
ITEM000076,ORD00039,CUST0486,P043,Nilkamal Plastic Chair,Furniture,1,899,0,0.0,899.0,899.0,899.0,2024-11-01,Delivered
ITEM000077,ORD00039,CUST0486,P032,Park Avenue Deo Combo,Beauty,1,399,0,0.0,399.0,399.0,399.0,2024-11-01,Delivered
ITEM000078,ORD00040,CUST0016,P016,Philips HL7756 Mixer,Home & Kitchen,2,2799,0,0.0,2799.0,5598.0,5598.0,2024-10-11,Delivered
